1|6|1|12.7|05/09/2018
1|10|3|52.5|05/09/2018
2|7|1|23.0|05/09/2018
3|15|2|24.0|05/09/2018
3|13|1|14.0|05/09/2018
1|7|4|92.0|06/09/2018
1|9|6|75.0|06/09/2018
1|5|1|13.0|06/09/2018
1|4|10|155.0|08/09/2018
2|4|10|155.0|08/09/2018
1|1|1|10.0|09/09/2018
1|4|2|28.0|09/09/2018
1|2|10|130.0|10/09/2018
1|4|1|14.0|04/10/2018
2|3|1|13.5|04/10/2018
1|3|19|256.5|05/10/2018
2|6|1|5.0|05/10/2018
1|4|1|14.0|10/10/2018
2|4|1|14.0|10/10/2018
3|2|1|13.0|10/10/2018
4|8|5|25.0|10/10/2018
5|7|18|9810.0|10/10/2018
6|9|5|25.0|10/10/2018
1|3|1|13.5|15/10/2018
1|4|1|14.0|15/10/2018
1|4|1|14.0|22/11/2018
1|5|1|18.0|22/11/2018
2|3|2|27.0|22/11/2018
2|1|3|30.0|22/11/2018
1|1|1|10.0|27/04/2020
1|2|1|13.0|27/04/2020
